#node1,node2,rmsd_score
TMEM97,EMC1,27.41343640072739
TMEM97,ALG11,24.68266972647108
TMEM97,DPY19L1,29.874802437674887
TMEM97,PPIL3,19.023802631172185
TMEM97,GOLGA3,22.082440330490176
TMEM97,TUBGCP2,28.420630306917797
TMEM97,CSDE1,26.563622690872748
TMEM97,EXOSC3,23.67436376627686
TMEM97,PRIM2,20.13180860118933
TMEM97,ELOC,17.43862856299563
TMEM97,ELOB,20.93935132073856
TMEM97,EXOSC2,25.18197899756708
TMEM97,PPT1,29.994299949045548
TMEM97,PABPC1,28.980278549467343
TMEM97,ZNF503,51.35640288747658
TMEM97,FAM8A1,18.770075532306684
TMEM97,TUBGCP3,31.420210784867912
TMEM97,GOLGA2,22.330529753962427
TMEM97,HYOU1,24.89455196068112
TMEM97,WFS1,29.26602767027001
TMEM97,MIB1,21.40006179216479
TMEM97,PLEKHF2,33.523374343378755
TMEM97,SLC30A6,20.031174237989877
TMEM97,HS6ST2,37.65444011563319
TMEM97,TAPT1,48.66430959499393
TMEM97,MTCH1,32.45860510979215
TMEM97,TBCA,11.856507248518726
TMEM97,CEP112,39.92605440589716
TMEM97,NIN,26.02243857114213
TMEM97,PRIM1,20.13180860118933
TMEM97,ATP6V1A,22.31481374503809
TMEM97,USP13,22.77051462274733
TMEM97,CHPF,30.955936438922546
TMEM97,ECSIT,26.803561102203705
TMEM97,ALG8,21.9081535266455
TMEM97,SLC30A7,19.7096061166964
TMEM97,MPHOSPH10,21.6408568516357
TMEM97,MYCBP2,40.56147004095341
TMEM97,PCNT,45.53337898011575
TMEM97,AATF,34.49010711625066
TMEM97,DCTPP1,23.154962008388143
TMEM97,EXOSC5,24.492917485743533
TMEM97,FBXL12,23.45299777508218
TMEM97,EIF4E2,26.542206204809357
TMEM97,HMOX1,21.22658586703813
TMEM97,COL6A1,23.138863919940736
TMEM97,PMPCB,29.622476868360067
TMEM97,EIF4H,31.62327655948143
TMEM97,RAB7A,20.833256025250574
TMEM97,ATP6AP1,21.79449205928021
TMEM97,ATP5MG,14.358334751691723
TMEM97,CWC27,20.781884600340177
TMEM97,MIPOL1,25.24515451698118
TMEM97,BCKDK,23.98037209460397
TMEM97,COLGALT1,26.9699768809814
TMEM97,F2RL1,20.51297120116791
TMEM97,DNAJC11,31.687757411826727
TMEM97,TIMM10B,35.58908978873448
TMEM97,TOMM70,27.911870531912964
TMEM97,MTARC1,33.49778393528376
TMEM97,SUN2,36.131793849721696
TMEM97,IMPDH2,20.078957782340257
TMEM97,NDUFB9,24.28753128533057
TMEM97,CYB5B,21.013837930935885
TMEM97,INHBE,24.87678868665425
TMEM97,PABPC4,31.78313193310457
TMEM97,NLRX1,22.836274118949703
TMEM97,PMPCA,21.4841621802241
TMEM97,C1orf50,19.30005094759564
TMEM97,PDE4DIP,66.82530374980908
TMEM97,GNB1,21.39669721197996
TMEM97,GOLGA7,22.082440330490176
